#header_line ,1: ,mpirun -np 2 --report-bindings --map-by socket ./IMB-MPI1 PingPong -msglog 28 ,,,,,,
#header_line ,2: ,tnode007,tnode007,,,,,
#header_line ,3: ,4.29,16458.58,,,,,
#header:,#bytes,#repetitions,t[usec],Mbytes/sec,t (computed),Mbytes/sec (computed ),t (estimated),Mbytes/sec (estimated )
,33554432,1,5796.6,5788.64,,,,
,67108864,1,11947.94,5616.77,,,,
,134217728,1,23781.85,5643.7,,,,
,268435456,1,47463.35,5655.64,,,,
,0,1000,0.4,0,,,,
,1,1000,0.4,2.51,,,,
,2,1000,0.4,5.03,,,,
,4,1000,0.4,10.07,,,,
,8,1000,0.4,20.07,,,,
,16,1000,0.4,40.17,,,,
,32,1000,0.57,56.33,,,,
,64,1000,0.56,115.12,,,,
,128,1000,0.89,144.08,,,,
,256,1000,0.94,273.14,,,,
,512,1000,1.1,466.18,,,,
,1024,1000,1.28,797.13,,,,
,2048,1000,2.13,962.05,,,,
,4096,1000,3.03,1350.71,,,,
,8192,1000,4.87,1682.43,,,,
,16384,1000,7.3,2243.68,,,,
,32768,1000,13.02,2517.52,,,,
,65536,640,25.58,2562.37,,,,
,131072,320,47.09,2783.43,,,,
,262144,160,14.57,17987.71,,,,
,524288,80,25.46,20595.37,,,,
,1048576,40,55.1,19031.11,,,,
,2097152,20,146.35,14329.89,,,,
,4194304,10,296.41,14150.11,,,,
,8388608,5,789.66,10623.02,,,,
,16777216,2,2315.08,7246.93,,,,
,33554432,1,5997.25,5594.97,,,,
,67108864,1,12023.53,5581.46,,,,
,134217728,1,24323,5518.14,,,,
,268435456,1,47848.6,5610.1,,,,
,0,1000,0.4,0,,,,
,1,1000,0.4,2.5,,,,
,2,1000,0.4,5.01,,,,
,4,1000,0.4,10.05,,,,
,8,1000,0.4,20.09,,,,
,16,1000,0.4,40.27,,,,
,32,1000,0.57,56.49,,,,
,64,1000,0.56,115.23,,,,
,128,1000,0.88,145.71,,,,
,256,1000,0.93,274.23,,,,
,512,1000,1.11,459.41,,,,
,1024,1000,1.31,782.9,,,,
,2048,1000,2.14,958.72,,,,
,4096,1000,3.04,1345.94,,,,
,8192,1000,5.05,1623.33,,,,
,16384,1000,8,2048.34,,,,
,32768,1000,13.96,2347.72,,,,
,65536,640,25.89,2531.67,,,,
,131072,320,48.56,2699.13,,,,
,262144,160,15.74,16658.62,,,,
,524288,80,28.24,18564.01,,,,
,1048576,40,59.39,17655.94,,,,
,2097152,20,152.54,13748.49,,,,
,4194304,10,302.2,13879.13,,,,
,8388608,5,726.75,11542.7,,,,
,16777216,2,2517.29,6664.78,,,,
,33554432,1,5744.97,5840.66,,,,
,67108864,1,11620.88,5774.85,,,,
,134217728,1,23853.68,5626.71,,,,
,268435456,1,48038.54,5587.92,,,,
,0,1000,0.4,0,,,,
,1,1000,0.4,2.5,,,,
,2,1000,0.4,4.97,,,,
,4,1000,0.4,9.93,,,,
,8,1000,0.41,19.45,,,,
,16,1000,0.4,40.03,,,,
,32,1000,0.57,56.2,,,,
,64,1000,0.57,111.41,,,,
,128,1000,0.91,141.16,,,,
,256,1000,0.92,277.32,,,,
,512,1000,1.1,465.47,,,,
,1024,1000,1.27,805.59,,,,
,2048,1000,2.1,977.15,,,,
,4096,1000,3.01,1360.73,,,,
,8192,1000,4.85,1690.61,,,,
,16384,1000,7.28,2251.76,,,,
,32768,1000,13.01,2518.12,,,,
,65536,640,24.12,2717.34,,,,
,131072,320,46.06,2845.98,,,,
,262144,160,14.57,17988.2,,,,
,524288,80,25.77,20342.89,,,,
,1048576,40,57.28,18306.1,,,,
,2097152,20,146.46,14318.98,,,,
,4194304,10,324.52,12924.45,,,,
,8388608,5,691.2,12136.36,,,,
,16777216,2,2121.78,7907.14,,,,
,33554432,1,5606.2,5985.24,,,,
,67108864,1,11826.81,5674.3,,,,
,134217728,1,24362.62,5509.17,,,,
,268435456,1,48299.59,5557.72,,,,
,0,1000,0.42,0,,,,
,1,1000,0.42,2.39,,,,
,2,1000,0.4,5.01,,,,
,4,1000,0.4,10.04,,,,
,8,1000,0.4,19.95,,,,
,16,1000,0.4,39.88,,,,
,32,1000,0.58,54.71,,,,
,64,1000,0.58,110.21,,,,
,128,1000,0.94,135.79,,,,
,256,1000,0.99,258.44,,,,
,512,1000,1.12,455.89,,,,
,1024,1000,1.3,787.01,,,,
,2048,1000,2.15,952.52,,,,
,4096,1000,3.2,1279.46,,,,
,8192,1000,5.04,1624.22,,,,
,16384,1000,7.96,2059.3,,,,
,32768,1000,13.94,2349.92,,,,
,65536,640,25.89,2530.86,,,,
,131072,320,47.56,2756.18,,,,
,262144,160,15.93,16459.25,,,,
,524288,80,30.55,17163.99,,,,
,1048576,40,59.62,17586.52,,,,
,2097152,20,154.27,13594.2,,,,
,4194304,10,301.84,13895.93,,,,
,8388608,5,675.57,12417.03,,,,
,16777216,2,1942.89,8635.19,,,,
,33554432,1,5659.56,5928.81,,,,
,67108864,1,11865.33,5655.88,,,,
,134217728,1,23917.3,5611.74,,,,
,268435456,1,48507.78,5533.86,,,,
,0,1000,0.41,0,,,,
,1,1000,0.4,2.48,,,,
,2,1000,0.4,5.03,,,,
,4,1000,0.4,10.11,,,,
,8,1000,0.4,19.99,,,,
,16,1000,0.4,40.18,,,,
,32,1000,0.56,57.54,,,,
,64,1000,0.56,113.31,,,,
,128,1000,0.89,144.6,,,,
,256,1000,0.94,272.27,,,,
,512,1000,1.14,449.64,,,,
,1024,1000,1.33,771.89,,,,
,2048,1000,2.11,972.01,,,,
,4096,1000,3.02,1356.64,,,,
,8192,1000,4.83,1694.67,,,,
,16384,1000,7.25,2261.09,,,,
,32768,1000,13.01,2518.26,,,,
,65536,640,23.96,2735.65,,,,
,131072,320,45.06,2908.93,,,,
,262144,160,13.13,19963.42,,,,
,524288,80,22.88,22915.22,,,,
,1048576,40,52.15,20107.47,,,,
,2097152,20,140.31,14946.76,,,,
,4194304,10,301.12,13928.78,,,,
,8388608,5,672.68,12470.41,,,,
,16777216,2,1995.35,8408.14,,,,
,33554432,1,5586.78,6006.05,,,,
,67108864,1,11800.75,5686.83,,,,
,134217728,1,23719.64,5658.51,,,,
,268435456,1,47569.27,5643.04,,,,
,0,1000,0.42,0,,,,
,1,1000,0.41,2.44,,,,
,2,1000,0.4,4.99,,,,
,4,1000,0.4,9.88,,,,
,8,1000,0.4,19.85,,,,
,16,1000,0.42,38.53,,,,
,32,1000,0.57,55.88,,,,
,64,1000,0.58,109.73,,,,
,128,1000,0.89,143.39,,,,
,256,1000,0.93,275.45,,,,
,512,1000,1.16,441.8,,,,
,1024,1000,1.27,803.72,,,,
,2048,1000,2.12,967.45,,,,
,4096,1000,3.03,1351.91,,,,
,8192,1000,4.98,1643.73,,,,
,16384,1000,7.86,2084.21,,,,
,32768,1000,13.86,2364.8,,,,
,65536,640,26.13,2507.68,,,,
,131072,320,50.75,2582.54,,,,
,262144,160,21.47,12209.07,,,,
,524288,80,39.11,13404.94,,,,
,1048576,40,62.4,16803.29,,,,
,2097152,20,153.2,13688.89,,,,
,4194304,10,309.98,13530.83,,,,
,8388608,5,657.8,12752.46,,,,
,16777216,2,2221.4,7552.55,,,,
,33554432,1,5805.73,5779.53,,,,
,67108864,1,12095.08,5548.44,,,,
,134217728,1,24325.03,5517.68,,,,
,268435456,1,48549.4,5529.12,,,,
